developer,release_year,items_count,items_count_free,free_percent,look_developer
"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)",2016.0,1,0.0,0.0,"2kboston,2kaustralia,blindsquirrel,feralinteractive(mac)"
2K Czech,2010.0,4,0.0,0.0,2kczech
"2K Czech,Feral Interactive (Mac)",2010.0,3,0.0,0.0,"2kczech,feralinteractive(mac)"
"2K Czech,Feral Interactive (Mac)",2011.0,1,0.0,0.0,"2kczech,feralinteractive(mac)"
2K Marin,2013.0,4,0.0,0.0,2kmarin
"2K Marin,2K China,Digital Extremes,2K Australia,Blind Squirrel",2016.0,2,0.0,0.0,"2kmarin,2kchina,digitalextremes,2kaustralia,blindsquirrel"
"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",2010.0,1,0.0,0.0,"2kmarin,2kchina,digitalextremes,2kaustralia,feralinteractive(mac)"
2Pi Interactive Pvt. Ltd.,2016.0,1,0.0,0.0,2piinteractivepvt.ltd.
2Play,2013.0,1,0.0,0.0,2play
"2Play,Fredrik Häthén Music",2017.0,1,0.0,0.0,"2play,fredrikhäthénmusic"
"2Play,Prasius",2017.0,1,0.0,0.0,"2play,prasius"
2SD,2015.0,2,0.0,0.0,2sd
"2XL Games,Blitworks",2017.0,1,0.0,0.0,"2xlgames,blitworks"
2by3 Games,2010.0,1,0.0,0.0,2by3games
2by3 Games,2012.0,1,0.0,0.0,2by3games
2by3 Games,2013.0,1,0.0,0.0,2by3games
2by3 Games,2014.0,1,0.0,0.0,2by3games
2by3 Games,2015.0,1,0.0,0.0,2by3games
2x2 Games,2012.0,2,0.0,0.0,2x2games
2x2 Games,2013.0,1,0.0,0.0,2x2games
2xMilk,2017.0,2,0.0,0.0,2xmilk
3 Core Studio,2013.0,1,0.0,0.0,3corestudio
3 Fright,2016.0,2,0.0,0.0,3fright
3 Minute Games,2017.0,1,0.0,0.0,3minutegames
3 Sprockets,2012.0,1,0.0,0.0,3sprockets
3 Sprockets,2013.0,1,0.0,0.0,3sprockets
3 Sprockets,2014.0,1,0.0,0.0,3sprockets
3 Sprockets,2017.0,1,0.0,0.0,3sprockets
30.06 Studios Ltd,2014.0,1,0.0,0.0,30.06studiosltd
300 fps,2017.0,1,0.0,0.0,300fps
3000AD,2009.0,2,0.0,0.0,3000ad
3000AD,2014.0,3,0.0,0.0,3000ad
3000AD,2015.0,2,0.0,0.0,3000ad
3100 games,2016.0,1,0.0,0.0,3100games
313 Studios,2017.0,1,0.0,0.0,313studios
314 Arts,2016.0,1,0.0,0.0,314arts
"343 Industries,Vanguard Games",2014.0,1,0.0,0.0,"343industries,vanguardgames"
34BigThings srl,2015.0,1,0.0,0.0,34bigthingssrl
34BigThings srl,2016.0,2,0.0,0.0,34bigthingssrl
34BigThings srl,2017.0,5,0.0,0.0,34bigthingssrl
373vFS Greg,2017.0,1,0.0,0.0,373vfsgreg
"38,9_Degrees",2017.0,4,0.0,0.0,"38,9_degrees"
3909,2013.0,1,0.0,0.0,3909
3Crew,2016.0,1,0.0,0.0,3crew
3D Avenue,2016.0,2,0.0,0.0,3davenue
